"subjID","trial","deck","loss","gain","Study","group_id"
3,58,4,0,50,"Horstmann",1
3,59,2,0,100,"Horstmann",1
3,60,4,0,50,"Horstmann",1
3,61,2,0,100,"Horstmann",1
3,62,1,0,100,"Horstmann",1
3,63,4,0,50,"Horstmann",1
3,64,2,0,100,"Horstmann",1
3,65,4,0,50,"Horstmann",1
3,66,2,0,100,"Horstmann",1
3,67,1,0,100,"Horstmann",1
3,68,2,-1250,100,"Horstmann",1
3,69,4,0,50,"Horstmann",1
3,70,2,0,100,"Horstmann",1
3,71,4,0,50,"Horstmann",1
3,72,2,0,100,"Horstmann",1
3,73,1,-250,100,"Horstmann",1
3,74,4,0,50,"Horstmann",1
3,75,2,0,100,"Horstmann",1
3,76,4,0,50,"Horstmann",1
3,77,2,0,100,"Horstmann",1
3,78,4,0,50,"Horstmann",1
3,79,1,-350,100,"Horstmann",1
3,80,2,0,100,"Horstmann",1
3,81,4,0,50,"Horstmann",1
3,82,2,-1250,100,"Horstmann",1
3,83,4,0,50,"Horstmann",1
3,84,2,0,100,"Horstmann",1
3,85,4,0,50,"Horstmann",1
3,86,2,0,100,"Horstmann",1
3,87,4,0,50,"Horstmann",1
3,88,4,-250,50,"Horstmann",1
3,89,2,0,100,"Horstmann",1
3,90,2,0,100,"Horstmann",1
3,91,3,-50,50,"Horstmann",1
3,92,2,0,100,"Horstmann",1
3,93,1,-200,100,"Horstmann",1
3,94,4,0,50,"Horstmann",1
3,95,2,0,100,"Horstmann",1
3,96,2,0,100,"Horstmann",1
3,97,2,0,100,"Horstmann",1
3,98,4,0,50,"Horstmann",1
3,99,2,0,100,"Horstmann",1
3,100,2,0,100,"Horstmann",1
4,1,4,-250,50,"Horstmann",1
4,2,3,-50,50,"Horstmann",1
4,3,4,0,50,"Horstmann",1
4,4,2,0,100,"Horstmann",1
4,5,1,-200,100,"Horstmann",1
4,6,4,0,50,"Horstmann",1
4,7,3,0,50,"Horstmann",1
4,8,2,0,100,"Horstmann",1
4,9,2,0,100,"Horstmann",1
4,10,2,-1250,100,"Horstmann",1
4,11,3,0,50,"Horstmann",1
4,12,3,0,50,"Horstmann",1
4,13,2,0,100,"Horstmann",1
4,14,4,0,50,"Horstmann",1
4,15,3,-50,50,"Horstmann",1
4,16,4,0,50,"Horstmann",1
4,17,2,0,100,"Horstmann",1
4,18,1,-300,100,"Horstmann",1
4,19,4,0,50,"Horstmann",1
4,20,3,0,50,"Horstmann",1
4,21,4,0,50,"Horstmann",1
4,22,2,0,100,"Horstmann",1
4,23,3,0,50,"Horstmann",1
4,24,4,0,50,"Horstmann",1
4,25,3,-50,50,"Horstmann",1
4,26,2,0,100,"Horstmann",1
4,27,4,0,50,"Horstmann",1
4,28,3,-50,50,"Horstmann",1
4,29,2,0,100,"Horstmann",1
4,30,4,0,50,"Horstmann",1
4,31,4,-250,50,"Horstmann",1
4,32,3,-50,50,"Horstmann",1
4,33,2,0,100,"Horstmann",1
4,34,4,0,50,"Horstmann",1
4,35,3,0,50,"Horstmann",1
4,36,2,0,100,"Horstmann",1
4,37,4,0,50,"Horstmann",1
4,38,3,-50,50,"Horstmann",1
4,39,4,0,50,"Horstmann",1
4,40,2,0,100,"Horstmann",1
4,41,1,0,100,"Horstmann",1
4,42,4,0,50,"Horstmann",1
4,43,3,-50,50,"Horstmann",1
4,44,1,0,100,"Horstmann",1
4,45,4,0,50,"Horstmann",1
4,46,2,-1250,100,"Horstmann",1
4,47,4,0,50,"Horstmann",1
4,48,1,0,100,"Horstmann",1
4,49,3,-50,50,"Horstmann",1
4,50,4,0,50,"Horstmann",1
4,51,2,0,100,"Horstmann",1
4,52,1,-150,100,"Horstmann",1
4,53,4,0,50,"Horstmann",1
4,54,2,0,100,"Horstmann",1
4,55,3,0,50,"Horstmann",1
4,56,4,0,50,"Horstmann",1
4,57,2,0,100,"Horstmann",1
4,58,1,0,100,"Horstmann",1
4,59,2,0,100,"Horstmann",1
4,60,3,-50,50,"Horstmann",1
4,61,4,0,50,"Horstmann",1
4,62,2,0,100,"Horstmann",1
4,63,1,-250,100,"Horstmann",1
4,64,4,0,50,"Horstmann",1
4,65,3,0,50,"Horstmann",1
4,66,4,0,50,"Horstmann",1
4,67,2,0,100,"Horstmann",1
4,68,3,-50,50,"Horstmann",1
4,69,4,0,50,"Horstmann",1
4,70,1,0,100,"Horstmann",1
4,71,3,0,50,"Horstmann",1
4,72,4,0,50,"Horstmann",1
4,73,3,0,50,"Horstmann",1
4,74,2,0,100,"Horstmann",1
4,75,1,-350,100,"Horstmann",1
4,76,4,0,50,"Horstmann",1
4,77,3,-50,50,"Horstmann",1
4,78,4,0,50,"Horstmann",1
4,79,2,0,100,"Horstmann",1
4,80,1,-150,100,"Horstmann",1
4,81,4,0,50,"Horstmann",1
4,82,3,0,50,"Horstmann",1
4,83,2,0,100,"Horstmann",1
4,84,4,-250,50,"Horstmann",1
4,85,3,0,50,"Horstmann",1
4,86,3,0,50,"Horstmann",1
4,87,2,0,100,"Horstmann",1
4,88,1,-300,100,"Horstmann",1
4,89,4,0,50,"Horstmann",1
4,90,3,-50,50,"Horstmann",1
4,91,4,0,50,"Horstmann",1
4,92,2,0,100,"Horstmann",1
4,93,3,0,50,"Horstmann",1
4,94,4,0,50,"Horstmann",1
4,95,3,-50,50,"Horstmann",1
4,96,4,0,50,"Horstmann",1
4,97,1,0,100,"Horstmann",1
4,98,4,0,50,"Horstmann",1
4,99,3,-50,50,"Horstmann",1
4,100,4,0,50,"Horstmann",1
5,1,1,0,100,"Horstmann",1
5,2,2,0,100,"Horstmann",1
5,3,2,0,100,"Horstmann",1
5,4,2,-1250,100,"Horstmann",1
5,5,2,0,100,"Horstmann",1
5,6,3,-50,50,"Horstmann",1
5,7,4,0,50,"Horstmann",1
5,8,1,0,100,"Horstmann",1
5,9,4,0,50,"Horstmann",1
5,10,1,0,100,"Horstmann",1
5,11,4,-250,50,"Horstmann",1
5,12,1,-250,100,"Horstmann",1
5,13,1,-150,100,"Horstmann",1
5,14,2,0,100,"Horstmann",1
5,15,2,0,100,"Horstmann",1
5,16,1,-350,100,"Horstmann",1
5,17,3,-50,50,"Horstmann",1
5,18,4,0,50,"Horstmann",1
5,19,4,0,50,"Horstmann",1
5,20,4,0,50,"Horstmann",1
5,21,4,0,50,"Horstmann",1
5,22,1,-300,100,"Horstmann",1
5,23,2,0,100,"Horstmann",1
5,24,2,0,100,"Horstmann",1
5,25,2,0,100,"Horstmann",1
5,26,4,0,50,"Horstmann",1
5,27,2,0,100,"Horstmann",1
5,28,4,0,50,"Horstmann",1
5,29,2,0,100,"Horstmann",1
5,30,4,0,50,"Horstmann",1
5,31,2,0,100,"Horstmann",1
5,32,4,0,50,"Horstmann",1
5,33,2,0,100,"Horstmann",1
5,34,4,0,50,"Horstmann",1
5,35,2,0,100,"Horstmann",1
5,36,4,0,50,"Horstmann",1
5,37,2,-1250,100,"Horstmann",1
5,38,4,0,50,"Horstmann",1
5,39,2,0,100,"Horstmann",1
5,40,4,0,50,"Horstmann",1
5,41,2,0,100,"Horstmann",1
5,42,4,0,50,"Horstmann",1
5,43,1,0,100,"Horstmann",1
5,44,2,0,100,"Horstmann",1
5,45,1,0,100,"Horstmann",1
5,46,2,0,100,"Horstmann",1
5,47,1,-200,100,"Horstmann",1
5,48,1,-350,100,"Horstmann",1
5,49,4,0,50,"Horstmann",1
5,50,4,-250,50,"Horstmann",1
5,51,1,-200,100,"Horstmann",1
5,52,2,0,100,"Horstmann",1
5,53,2,0,100,"Horstmann",1
5,54,2,0,100,"Horstmann",1
5,55,3,0,50,"Horstmann",1
5,56,3,-50,50,"Horstmann",1
5,57,4,0,50,"Horstmann",1
5,58,3,0,50,"Horstmann",1
5,59,3,0,50,"Horstmann",1
5,60,3,-50,50,"Horstmann",1
